Event_Num,Window_Num,Chat_Num,Chat_Code,Chat_Type,Chat_Text,스트링 내용 표시 (사용x),Chat_Success_Probability,Chat_Next_Success,Chat_Next_Failure,Sound,Reward
1,1,1,Chat_1_1_1,2,String_1_1_1,"하늘에 무지개가 떴다.
사진을 찍어보자",60,Chat__18_18,Chat__35_35,0,0
2,2,2,Chat__2_2,2,String_1_2_2,"하늘에 먹구름이 생겼다.
비가 올거같다.",83,Chat__19_19,Chat__36_36,0,0
3,3,3,Chat__3_3,2,String_1_3_3,"하늘에 떠 다니는 선물상자를 발견했다.
왠지 새총으로 맞출 수 있을 것 같다.
기회는 단 한번… 바람의 흐름을 읽은 뒤.
침착하게 노려본다.
맞출 수 있을거란 확신이 들었을 때 고무줄을 놓아보자.
탁…! 고무줄을 놓자 그 반동으로 돌맹이가 힘차게 날아갔다.",26,Chat__20_20,Chat__37_37,0,0
4,4,4,Chat__4_4,2,String_1_4_4,"우리 섬을 홍보하기 위해 열기구를 띄워 보았다.
원숭이들의 손을 떠난 열기구는 힘차게 하늘로 올라갔다.",16,Chat__21_21,Chat__38_38,0,0
5,5,5,Chat__5_5,2,String_1_5_5,불시착한 물체 발견,86,Chat__22_22,Chat__39_39,0,0
6,6,6,Chat__6_6,2,String_1_6_6,"몽바오를 발견했다.
뭘 좋아할지 몰라서 바나나를 준비했어",55,Chat__23_23,Chat__40_40,0,0
7,7,7,Chat__7_7,2,String_1_7_7,"운반하던 바나나를 물에 빠트려 버렸다.
그 자리에서 원숭이 산신령 등장",70,Chat__24_24,Chat__41_41,0,0
8,8,8,Chat__8_8,2,String_1_8_8,거미 발견,70,Chat__25_25,Chat__42_42,0,0
9,9,9,Chat__9_9,2,String_1_9_9,"오늘은 보름달이 뜨는 날이다.
보름달을 자세히 보았더니..",70,Chat__26_26,Chat__43_43,0,0
10,10,10,Chat__10_10,2,String_1_10_10,떨어지는 별똥별을 발견했다 소원을 빌어보자,19,Chat__27_27,Chat__44_44,0,0
11,11,11,Chat__11_11,2,String_1_11_11,"어딘가에서 폭죽을 쏘아올렸다.
원숭이들은 잠시 하던일을 멈추고 하늘을 올려다 보았다.
까만 하늘에서 아름답게 빛나는 폭죽을 바라보는데…",52,Chat__28_28,Chat__45_45,0,0
12,12,12,Chat__12_12,2,String_1_12_12,"아기 원숭이가 엄마 원숭이에게 물었다.
"엄마 저건 무슨 별자리야?".
엄마 원숭이는 생각에 잠겼다.
분명 알고 있던 별자리였는데 갑자기 기억이 나질 않는다.엄마 원숭이는 두손으로 머리를 감싼채 기억을 더듬어본다.",2,Chat__29_29,Chat__46_46,0,0
13,13,13,Chat__13_13,2,String_1_13_13,"갑자기 한기가 느껴지기 시작했다.
주변을 둘러보니 하얀색의 무언가가 둥둥 떠다니것 같다.
""설마 유령..?"".
어..어어...어떡하지 어떡하지!!!",78,Chat__30_30,Chat__47_47,0,0
14,14,14,Chat__14_14,2,String_1_14_14,"왠지 아까부터 나를 노려보는 듯한 시선이 느껴진다.
시선이 느껴지는 곳에 말을 걸어보았다.
""거기 누구 있어…?"".
""….."".
아무런 대답도 들려오지 않았다.
""장난 그만하고 이제 나와"".
제발 다른 원숭이가 장난친 것이길 바라며.
시선의 정체를 밝혀본다.",24,Chat__31_31,Chat__48_48,0,0
15,15,15,Chat__15_15,2,String_1_15_15,"반딧불이가 한곳에 아름답게 모여있다.
조금 더 가까이 가서 보고싶다.
반딧불이들이 놀라지 않도록 아주 조심스럽게 다가갔다.",24,Chat__32_32,Chat__49_49,0,0
16,16,16,Chat__16_16,2,String_1_16_16,"어둠속에서 빛나고 있는 작은 생명체를 발견했다.
엄지손가락 만한 크기에 날개가 있어 마치 요정같았다.
그가 놀라지 않도록 조심스럽게 다가가서 말을 걸어보자.",49,Chat__33_33,Chat__50_50,0,0
17,17,17,Chat__17_17,2,String_1_17_17,"겁이 많은 원숭이 한마리가 집에가는 도중이었다.
집에 가려면 커다란 토템이 있는 곳을 지나야 한다.
원숭이는 조심스럽게 주변을 살피며 나아갔다.",46,Chat__34_34,Chat__51_51,0,0
1,18,18,Chat__18_18,1,String_2_1_1,깔끔하게 사진찍기 성공,16,0,0,0,0
2,19,19,Chat__19_19,1,String_2_2_2,다행히 금새 구름이 걷혔다.,40,0,0,0,0
3,20,20,Chat__20_20,1,String_2_3_3,"펑!!!.
날아간 돌맹이가 풍선을 정확하게 맞추었다.
돌맹이에 맞은 풍선이 터져 상자가 아래로 떨어졌다.",76,0,0,0,0
4,21,21,Chat__21_21,1,String_2_4_4,"하늘은 깨끗하게 맑았다.
바람 한 점 불지 않는 날씨였고 열기구는 무사히 자리를 잡았다.
원숭이들은 열기구를 보며 다시 한 번 부자가 되겠음을 다짐했다.",88,0,0,0,0
5,22,22,Chat__22_22,1,String_2_5_5,깨랑깨랑,77,0,0,0,0
6,23,23,Chat__23_23,1,String_2_6_6,다행히 바나나를 맛있게 먹고 만족한듯 돌아갔다.,80,0,0,0,0
7,24,24,Chat__24_24,1,String_2_7_7,"니가 빠트린것이 다이아와 골드중 어떤것이냐?.
제가 빠트린건 바나나입니다요.
그건 버린건줄 알고 먹었다며 다른 선물을 주는 산신령",41,0,0,0,0
8,25,25,Chat__25_25,1,String_2_8_8,독거미 키보드를 얻었다.,57,0,0,0,0
9,26,26,Chat__26_26,1,String_2_9_9,왠지 힘이 강해진 듯한 느낌이 든다,66,0,0,0,0
10,27,27,Chat__27_27,1,String_2_10_10,"부자가 되게 해주세요… .
간절한 마음으로 소원을 빌어보았다.",92,0,0,0,0
11,28,28,Chat__28_28,1,String_2_11_11,"펑! 퍼펑!! 펑펑펑!!!.
힘차게 하늘로 쏘아올린 폭죽이 하늘에서 아름답게 피었다.
원숭이들은 폭죽을 보며 감상한 뒤.
하루를 힘차게 마무리 했다.",96,0,0,0,0
12,29,29,Chat__29_29,1,String_2_12_12,"엄마 원숭이는 기억을 해냈다!.
""저건 원숭이 자리란다"".
아기 원숭이가 기뻐했다.
""엄마는 뭐든지 다 아는구나 우리 엄마 최고!"".
두 원숭이 모자는 화목한 분위기로 대화를 이어나갔다.",5,0,0,0,0
13,30,30,Chat__30_30,1,String_2_13_13,"심호흡을 하고 마음을 진정시켜 보았다.
자세히 보니 원숭이를 닮은 것 같기도… .
... .
원숭이 유령의 이야기를 들어 주었더니 갑자기 성불을 해버렸다.",44,0,0,0,0
14,31,31,Chat__31_31,1,String_2_14_14,"덤불 사이에서 나를 노려보던 시선의 정체는 귀여운 고양이였다.
나는 안도의 한 숨을 내쉰 후에.
고양이에게 간식을 준 뒤 보내주었다.",86,0,0,0,0
15,32,32,Chat__32_32,1,String_2_15_15,"반딧불이가 모여있는 이곳은.
조명없이도 환하고 아릅다웠다.
나는 한참동안 가만히 서서 주변 풍경을 넋을 놓고 쳐다봤다.",72,0,0,0,0
16,33,33,Chat__33_33,1,String_2_16_16,"한 발 한 발 아주 천천히 다가갔다.
요정은 반갑다는 듯이 나에게 웃어 주었고.
요정과 대화를 나눌 수 있었다.
요정과 친구가 되었다.",51,0,0,0,0
17,34,34,Chat__34_34,1,String_2_17_17,"겁이 많은 원숭이는 어둠속에서 빛나는 토템이 괴물처럼 생겨서 무서웠지만.
무사히 집에 도착할 수 있었다.",68,0,0,0,0
1,35,35,Chat__35_35,1,String_3_1_1,"""갑자기 코가 간지럽… 으엣취!"".
(찰칵).
사진이 잘못찍혔다.",58,0,0,0,0
2,36,36,Chat__36_36,1,String_3_2_2,폭우가 내렸다,73,0,0,0,0
3,37,37,Chat__37_37,1,String_3_3_3,"힘차게 날아간 돌맹이는 아쉽게도 풍선을 스쳐 지나갔고.
아무것도 맞추지 못한 채 힘없이 떨어지고 말았다.
원숭이들은 멍하니 날아가는 선물상자를 바라볼 뿐이었다. ",99,0,0,0,0
4,38,38,Chat__38_38,1,String_3_4_4,"휘이이잉… .
갑자기 강풍이 불기 시작했고.
열기구는 저 멀리 날아가 버렸다…",99,0,0,0,0
5,39,39,Chat__39_39,1,String_3_5_5,그저 소련에서 보낸 무인기의 일종이었다.,50,0,0,0,0
6,40,40,Chat__40_40,1,String_3_6_6,"몽바오는 건네준 바나나를 집어던진 뒤 사라졌다.
오늘은 바나나가 먹고싶지 않은가보다.",95,0,0,0,0
7,41,41,Chat__41_41,1,String_3_7_7,바나나를 함부로 대하지 말라며 혼났다.,28,0,0,0,0
8,42,42,Chat__42_42,1,String_3_8_8,큰 힘이 안생겼으니 책임 또한 없다.,31,0,0,0,0
9,43,43,Chat__43_43,1,String_3_9_9,구름에 가려서 잘 안보인다,8,0,0,0,0
10,44,44,Chat__44_44,1,String_3_10_10,"원하는게 많아서 무슨 소원을 빌지 고민.
별똥별은 이미 떨어진 후였다.",56,0,0,0,0
11,45,45,Chat__45_45,1,String_3_11_11,"밤하늘은 고요했다.
방금 본 폭죽이 마지막 이었던 것이다.
원숭이들은 실망한채로 다시 하던일을 하러 떠났다.",46,0,0,0,0
12,46,46,Chat__46_46,1,String_3_12_12,"엄마 원숭이는 결국 기억을 해내지 못했다.
아기 원숭이는 실망한 표정으로 말했다.
""엄마도 모르는게 있구나…"".
두 원숭이 모자 사이에 한참동안 침묵이 이어졌다.",84,0,0,0,0
13,47,47,Chat__47_47,1,String_3_13_13,너무 놀라서 그만 기절을 해버렸다.,46,0,0,0,0
14,48,48,Chat__48_48,1,String_3_14_14,"덤불에 가까워지자 덤불 속에서 그르릉 거리는 소리가 들려온다.
즉시 걸음을 멈추고 뒤도 돌아보지 않은채 한참을 달렸다.
다행히 따라오지 않는 것 같다.
밤에는 맹수를 조심해야겠다.",56,0,0,0,0
15,49,49,Chat__49_49,1,String_3_15_15,"파삭!.
조심스럽게 한발자국 내딛은 순간.
떨어져 있던 나뭇가지를 밟아버렸다.
큰 소리에 놀란 반딧불이들은 각각 멀리 흩어져 버렸다.",26,0,0,0,0
16,50,50,Chat__50_50,1,String_3_16_16,"철푸덕!.
어두워서 바닥이 잘 보이지 않았던 탓에.
바닥에 떨어져 있던 바나나 껍질을 밟아버렸다.
나는 그대로 미끄러져 넘어졌고 큰 소리가 울려 퍼졌다.
큰 소리에 놀란 요정은 숲 속 깊은곳으로 달아나 버렸다.",51,0,0,0,0
17,51,51,Chat__51_51,1,String_3_17_17,"겁이 많은 원숭이는 토템이 괴물처럼 생겨서 무서웠다.
너무 무서운 나머지 바닥만 쳐다보며 걷고 있던 그 때.
토템의 빛이 잠깐 꺼졌다가 몇 초후 다시 켜졌다.
순간적으로 어두워진 탓에 겁에 질려 비명를 지르며 달렸다.
겁이 많은 원숭이는 그 날 자고있던 마을 원숭이들을 비명소리로 깨워버린 탓에 다음날 크게 혼났다.",11,0,0,0,0
